"COUNTRYCODE","HAPPINESSSCORE"
"DNK","1.0"
"CHE","0.9963211426098249"
"ISL","0.9945899156026833"
"NOR","0.9939407054750053"
"FIN","0.975546418524129"
"CAN","0.973598788141095"
"NLD","0.959532568708072"
"NZL","0.9584505518286085"
"AUS","0.9539060809348624"
"SWE","0.9491452066652241"
"ISR","0.9439515256438"
"AUT","0.9119238260116858"
"USA","0.9086777753732957"
"CRI","0.9049989179831205"
"PRI","0.8946115559402726"
"DEU","0.8848734040251028"
"BRA","0.875784462237611"
"BEL","0.8708071845920797"
"IRL","0.8660463103224411"
"LUX","0.8582557887903052"
"MEX","0.8381302748322873"
"SGP","0.8296905431724735"
"GBR","0.826660895909976"
"CHL","0.8223328283921228"
"PAN","0.8214672148885521"
"ARG","0.8104306427180265"
"CZE","0.7987448604198225"
"ARE","0.7937675827742914"
"URY","0.7877082882492966"
"MLT","0.7753732958234149"
"COL","0.7738584721921662"
"FRA","0.7732092620644881"
"THA","0.7723436485609175"
"SAU","0.7517853278511144"
"TWN","0.7517853278511144"
"QAT","0.7509197143475438"
"ESP","0.7478900670850465"
"DZA","0.7465916468296906"
"GTM","0.7398831421770179"
"SUR","0.7279809565029215"
"KWT","0.7214888552261415"
"BHR","0.7169443843323956"
"TTO","0.7061242155377624"
"VEN","0.6879463319627785"
"SVK","0.6866479117074227"
"SLV","0.6844838779484959"
"MYS","0.6708504652672581"
"NIC","0.6680372213806535"
"UZB","0.6669552045011902"
"ITA","0.6647911707422636"
"ECU","0.6645747673663709"
"BLZ","0.6602466998485177"
"JPN","0.6526725816922745"
"KAZ","0.652239774940489"
"RUS","0.6386063622592512"
"KOR","0.6340618913655053"
"POL","0.6340618913655053"
"BOL","0.6312486474789006"
"LTU","0.6293010170958666"
"BLR","0.6269205799610473"
"SVN","0.6195628651806968"
"PER","0.6141527807833803"
"TKM","0.5957584938325039"
"MUS","0.5935944600735771"
"LBY","0.5864531486691192"
"LVA","0.5745509629950226"
"CYP","0.5715213157325255"
"PRY","0.5697900887253842"
"ROU","0.5676260549664573"
"EST","0.5652456178316383"
"JAM","0.5637307942003895"
"HRV","0.558969919930751"
"HKG","0.552477818653971"
"SOM","0.5485825578879031"
"TUR","0.5375459857173772"
"IDN","0.5213157325254274"
"JOR","0.5189352953906081"
"AZE","0.5163384548798962"
"PHL","0.5137416143691841"
"CHN","0.5063838995888336"
"BTN","0.495780134170093"
"KGZ","0.49339969703527364"
"SRB","0.49166847002813235"
"BIH","0.4886388227656352"
"MNE","0.4882060160138497"
"DOM","0.4869075957584939"
"MAR","0.4860419822549231"
"HUN","0.4847435619995671"
"PAK","0.4819303181129625"
"LBN","0.48128110798528445"
"PRT","0.47998268772992864"
"MKD","0.47954988097814333"
"VNM","0.4665656784245834"
"TUN","0.4631032244103008"
"GRC","0.4605063838995889"
"TJK","0.45249945899156035"
"MNG","0.4332395585371132"
"NGA","0.42631465050854794"
"HND","0.4254490370049774"
"IRN","0.4128976412032027"
"ZMB","0.4090023804371348"
"NPL","0.4085695736853495"
"ALB","0.37870590781216196"
"BGD","0.3761090673014499"
"SLE","0.37437784029430854"
"IRQ","0.3613936377407488"
"NAM","0.36117723436485605"
"CMR","0.34797662843540356"
"ETH","0.34689461155594026"
"ZAF","0.3362908461371997"
"LKA","0.32676909759792255"
"IND","0.3243886604631032"
"MMR","0.3224410300800692"
"EGY","0.31529971867561135"
"ARM","0.3148669119238261"
"KEN","0.3140012984202553"
"UKR","0.3070763903916901"
"GHA","0.2966890283488422"
"GEO","0.2914953473274183"
"SEN","0.2843540359229605"
"BGR","0.283921229171175"
"MRT","0.2804587751568924"
"ZWE","0.2787275481497511"
"MWI","0.2707206232417225"
"SDN","0.2670417658515474"
"GAB","0.26314650508547943"
"MLI","0.2527591430426316"
"HTI","0.2430209911274615"
"BWA","0.2313352088292578"
"COM","0.2274399480631898"
"KHM","0.2168361826444493"
"AGO","0.20796364423285008"
"NER","0.2057996104739234"
"SSD","0.20060592945249944"
"TCD","0.18567409651590566"
"BFA","0.1804804154944817"
"UGA","0.1804804154944817"
"YEM","0.17723436485609181"
"MDG","0.17095866695520448"
"LBR","0.15516122051504003"
"GIN","0.15191516987665016"
"RWA","0.13200605929452505"
"BEN","0.12529755464185244"
"AFG","0.09846353603116209"
"TGO","0.08612854360528026"
"SYR","0.03549015364639691"
"BDI","0.0"
