ref_area,sex,classif1,time,obs_value
AGO,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,9.666466713
AGO,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,8.922872692
AGO,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,10.43365896
ARM,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,3.9
ARM,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,4.9
ARM,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,2.7
BOL,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,11.0
BOL,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,13.0
BOL,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,9.0
BRA,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,3.4
BRA,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,4.6
BRA,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,2.0
COL,SEX_T,AGE_CLDVERSION_Y5-17,2016.0,3.3
COL,SEX_M,AGE_CLDVERSION_Y5-17,2016.0,4.5
COL,SEX_F,AGE_CLDVERSION_Y5-17,2016.0,2.0
ECU,SEX_T,AGE_CLDVERSION_Y5-14,2016.0,3.1
ECU,SEX_M,AGE_CLDVERSION_Y5-14,2016.0,3.3
ECU,SEX_F,AGE_CLDVERSION_Y5-14,2016.0,2.9
GEO,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,1.5
GEO,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,2.1
GEO,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,0.9
JOR,SEX_T,AGE_CLDVERSION_Y5-17,2016.0,1.2
JOR,SEX_M,AGE_CLDVERSION_Y5-17,2016.0,2.2
JOR,SEX_F,AGE_CLDVERSION_Y5-17,2016.0,0.2
MEX,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,3.8
MEX,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,5.3
MEX,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,2.3
MLI,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,32.36
MLI,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,37.45
MLI,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,27.05
NGA,SEX_T,AGE_CLDVERSION_Y5-17,2016.0,28.72
NGA,SEX_M,AGE_CLDVERSION_Y5-17,2016.0,29.88
NGA,SEX_F,AGE_CLDVERSION_Y5-17,2016.0,27.52
PER,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,13.3
PER,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,13.3
PER,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,13.3
PRY,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,15.52
PRY,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,19.4
PRY,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,11.46
SEN,SEX_T,AGE_CLDVERSION_Y5-17,2016.0,17.13698208
SEN,SEX_M,AGE_CLDVERSION_Y5-17,2016.0,25.65155327
SEN,SEX_F,AGE_CLDVERSION_Y5-17,2016.0,8.641388267
SLB,SEX_T,AGE_CLDVERSION_Y5-14,2015.0,13.8
SLB,SEX_M,AGE_CLDVERSION_Y5-14,2015.0,13.76
SLB,SEX_F,AGE_CLDVERSION_Y5-14,2015.0,13.81
SLV,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,4.9
SLV,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,6.6
SLV,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,3.0
TKM,SEX_T,AGE_CLDVERSION_Y5-17,2015.0,0.261040265
TKM,SEX_M,AGE_CLDVERSION_Y5-17,2015.0,0.39295749700000004
TKM,SEX_F,AGE_CLDVERSION_Y5-17,2015.0,0.11869038
