"COUNTRY","NAME"
"Congo (Brazzaville)",
"Congo (Kinshasa)",
"Ivory Coast",
"Kosovo",
"Laos",
"Moldova",
"North Cyprus",
"Palestinian Territories",
"Somaliland region",
"Swaziland",
"Tanzania",
"Afghanistan","Afghanistan"
"Albania","Albania"
"Algeria","Algeria"
"Angola","Angola"
"Argentina","Argentina"
"Armenia","Armenia"
"Australia","Australia"
"Austria","Austria"
"Azerbaijan","Azerbaijan"
"Bahrain","Bahrain"
"Bangladesh","Bangladesh"
"Belarus","Belarus"
"Belgium","Belgium"
"Benin","Benin"
"Bhutan","Bhutan"
"Bolivia (Plurinational State of)","Bolivia (Plurinational State of)"
"Bosnia and Herzegovina","Bosnia and Herzegovina"
"Botswana","Botswana"
"Brazil","Brazil"
"Bulgaria","Bulgaria"
"Burkina Faso","Burkina Faso"
"Burundi","Burundi"
"Cambodia","Cambodia"
"Cameroon","Cameroon"
"Canada","Canada"
"Central African Republic","Central African Republic"
"Chad","Chad"
"Chile","Chile"
"China","China"
"Colombia","Colombia"
"Comoros","Comoros"
"Costa Rica","Costa Rica"
"Croatia","Croatia"
"Cyprus","Cyprus"
"Czechia","Czechia"
"Denmark","Denmark"
"Djibouti","Djibouti"
"Dominican Republic","Dominican Republic"
"Ecuador","Ecuador"
"Egypt","Egypt"
"El Salvador","El Salvador"
"Estonia","Estonia"
"Ethiopia","Ethiopia"
"Finland","Finland"
"France","France"
"Gabon","Gabon"
"Georgia","Georgia"
"Germany","Germany"
"Ghana","Ghana"
"Greece","Greece"
"Guatemala","Guatemala"
"Guinea","Guinea"
"Haiti","Haiti"
"Honduras","Honduras"
"Hong Kong","Hong Kong"
"Hungary","Hungary"
"Iceland","Iceland"
"India","India"
"Indonesia","Indonesia"
"Iran (Islamic Republic of)","Iran (Islamic Republic of)"
"Iraq","Iraq"
"Ireland","Ireland"
"Israel","Israel"
"Italy","Italy"
"Jamaica","Jamaica"
"Japan","Japan"
"Jordan","Jordan"
"Kazakhstan","Kazakhstan"
"Kenya","Kenya"
"Korea, Republic of","Korea, Republic of"
"Kuwait","Kuwait"
"Kyrgyzstan","Kyrgyzstan"
"Latvia","Latvia"
"Lebanon","Lebanon"
"Lesotho","Lesotho"
"Liberia","Liberia"
"Libya","Libya"
"Lithuania","Lithuania"
"Luxembourg","Luxembourg"
"Madagascar","Madagascar"
"Malawi","Malawi"
"Malaysia","Malaysia"
"Mali","Mali"
"Malta","Malta"
"Mauritania","Mauritania"
"Mauritius","Mauritius"
"Mexico","Mexico"
"Mongolia","Mongolia"
"Montenegro","Montenegro"
"Morocco","Morocco"
"Mozambique","Mozambique"
"Myanmar","Myanmar"
"Nepal","Nepal"
"Netherlands","Netherlands"
"New Zealand","New Zealand"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"North Macedonia","North Macedonia"
"Norway","Norway"
"Oman","Oman"
"Pakistan","Pakistan"
"Panama","Panama"
"Paraguay","Paraguay"
"Peru","Peru"
"Philippines","Philippines"
"Poland","Poland"
"Portugal","Portugal"
"Qatar","Qatar"
"Romania","Romania"
"Russian Federation","Russian Federation"
"Rwanda","Rwanda"
"Saudi Arabia","Saudi Arabia"
"Senegal","Senegal"
"Serbia","Serbia"
"Sierra Leone","Sierra Leone"
"Singapore","Singapore"
"Slovakia","Slovakia"
"Slovenia","Slovenia"
"South Africa","South Africa"
"Spain","Spain"
"Sri Lanka","Sri Lanka"
"Sudan","Sudan"
"Suriname","Suriname"
"Sweden","Sweden"
"Switzerland","Switzerland"
"Syrian Arab Republic","Syrian Arab Republic"
"Taiwan, Province of China","Taiwan, Province of China"
"Tajikistan","Tajikistan"
"Thailand","Thailand"
"Togo","Togo"
"Trinidad and Tobago","Trinidad and Tobago"
"Tunisia","Tunisia"
"Turkey","Turkey"
"Turkmenistan","Turkmenistan"
"Uganda","Uganda"
"Ukraine","Ukraine"
"United Arab Emirates","United Arab Emirates"
"United Kingdom of Great Britain and Northern Ireland","United Kingdom of Great Britain and Northern Ireland"
"United States of America","United States of America"
"Uruguay","Uruguay"
"Uzbekistan","Uzbekistan"
"Venezuela (Bolivarian Republic of)","Venezuela (Bolivarian Republic of)"
"Vietnam","Vietnam"
"Yemen","Yemen"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe"
