codigo,descricao
SP_DYN_TFRT_IN,"Fertility rate, total (births per woman)"
DEMO_H1_H1,Demographic indicators
DEMO_H1,Demographic
SP_DYN_LE00_IN,"Life expectancy at birth, total (years)"
SP_DYN_IMRT_IN,"Mortality rate, infant (per 1,000 live births)"
200343,Population aged 14 years or younger (thousands)
200144,Population aged 15-24 years (thousands)
200345,Population aged 25-64 years (thousands) 
200151,Population aged 65 years or older (thousands)
SP_POP_GROW,Population growth (annual %)
SH_DYN_AIDS_ZS,"Prevalence of HIV, total (% of population ages 15-49)"
SP_RUR_TOTL_ZS,Rural population (% of total population)
200101,Total population (thousands)
NY_GDP_MKTP_CN,GDP (current LCU)
DEMO_H2_H1,Socio-economic indicators
DEMO_H2,Socio-economic
NY_GDP_MKTP_CD,GDP (current US$)
NY_GDP_DEFL_ZS,GDP deflator (base year varies by country)
NY_GDP_MKTP_KD_ZG,GDP growth (annual %)
NY_GDP_PCAP_CD,GDP per capita (current US$)
NY_GDP_PCAP_PP_CD,"GDP per capita, PPP (current international $)"
NY_GDP_MKTP_PP_CD,"GDP, PPP (current international $)"
XTGOV_IMF,General government total expenditure (current LCU)
NY_GNP_PCAP_CD,"GNI per capita, Atlas method (current US$)"
NY_GNP_PCAP_PP_CD,"GNI per capita, PPP (current international $)"
PA_NUS_PPP,"PPP conversion factor, GDP (LCU per international $)"
DT_TDS_DECT_GN_ZS,Total debt service (% of GNI)
NY_GDP_MKTP_KD,GDP at market prices (constant 2010 US$)
NY_GDP_MKTP_KN,GDP (constant LCU)
NY_GDP_MKTP_PP_KD,"GDP, PPP (constant 2011 international $)"
NY_GDP_PCAP_CN,GDP per capita (current LCU)
NY_GDP_PCAP_PP_KD,"GDP per capita, PPP (constant 2011 international $)"
NY_GNP_MKTP_CN,GNI (current LCU)
NY_GNP_PCAP_CN,GNI per capita (current LCU)
PA_NUS_ATLS,DEC alternative conversion factor (LCU per US$)
PA_NUS_FCRF,"Official exchange rate (LCU per US$, period average)"
PA_NUS_PPPC_RF,Price level ratio of PPP conversion factor (GDP) to market exchange rate
PA_NUS_PRVT_PP,"PPP conversion factor, private consumption (LCU per international $)"
SI_POV_LMIC,Poverty headcount ratio at $3.20 a day (PPP) (% of population)
