LOCAL,INDICE
URY,0.29759078104632536
CHL,0.263485744975172
BRA,0.2513489850382742
CRI,0.2491978063627656
MYS,0.24735623755776304
MEX,0.24489444403907762
BLR,0.23640021523011157
PAN,0.22551308486506344
RUS,0.2232497358191747
COL,0.21490571781117038
THA,0.21214041543528203
SUR,0.20960572019511722
DOM,0.20474037563067324
TUR,0.20186311337765014
SLV,0.18212256855438205
PRY,0.17367432612733918
MNG,0.17211350605782952
MUS,0.17188645176405853
BLZ,0.17102279418460686
IRN,0.16742449196882325
BOL,0.1647498983528386
MNE,0.16422512676501544
GEO,0.16260659164421745
GTM,0.1579282962835596
LKA,0.15536194423083788
ALB,0.1536088396597242
IDN,0.15118174587651073
VNM,0.15013072204013694
PHL,0.1494753008388515
TUN,0.14672934646994937
IRQ,0.1367364421823983
SRB,0.13514453703713175
MKD,0.1350798920896189
UKR,0.13359304065916516
ZAF,0.11214291145322065
ARM,0.11091979672703528
EGY,0.09760336217878798
KGZ,0.09283418299754365
NAM,0.09174886561396203
BIH,0.0884179600634975
KHM,0.08598591380340866
BGD,0.07144568655534829
KEN,0.022068705825141855
MLI,-0.06668138970140604
LBR,-0.04998580940340341
