"LOCAL","HAPPINESSSCORE","INDICE"
"BDI","2.905","-0.13874367472944157"
"NER","3.856","-0.09642826150139158"
"MWI","4.156","-0.0891330909674104"
"SSD","3.832","-0.03439553721220382"
"TCD","3.763","-0.027812872206826468"
"ETH","4.508","-0.002597563319813469"
"RWA","3.515","0.007513841546270638"
"UGA","3.739","0.01114108186296362"
"SOM","5.44","0.01247653545522496"
"BFA","3.739","0.022413672464214527"
"GIN","3.607","0.041211527830085"
"COM","3.956","0.042978271692291285"
"AFG","3.36","0.04613405622936086"
"ZWE","4.193","0.05573661766072928"
"NPL","4.793","0.0644300978333457"
"SLE","4.635","0.07062914962402095"
"MMR","4.395","0.07986139185906348"
"MLI","4.073","0.08954278200067581"
"TGO","3.303","0.09421463736901232"
"KEN","4.356","0.09619212968884665"
"MDG","3.695","0.10141604113798554"
"KHM","3.907","0.11223989484176354"
"LBR","3.622","0.12447314125706621"
"TJK","4.996","0.12608547325337746"
"BEN","3.484","0.16246244280365518"
"YEM","3.724","0.17457275498079602"
"SDN","4.139","0.17532093326446707"
"ZMB","4.795","0.2012671013621706"
"BGD","4.643","0.20381429480851998"
"HTI","4.028","0.20540390792268085"
"KGZ","5.185","0.20853960970491123"
"SEN","4.219","0.21443560606388082"
"PAK","5.132","0.21624792941766288"
"IND","4.404","0.22421555335238935"
"NGA","4.875","0.2303135110779494"
"CMR","4.513","0.234117853797233"
"LKA","4.415","0.236979143229995"
"VNM","5.061","0.27605523786520797"
"MRT","4.201","0.27796399245676423"
"GHA","4.276","0.29491417768651745"
"BTN","5.196","0.3049348770967292"
"NAM","4.574","0.33071250311924016"
"PHL","5.279","0.338380940776863"
"UZB","5.987","0.3497324167792678"
"EGY","4.362","0.35701929626767315"
"SYR","3.069","0.3588116927666183"
"BLZ","5.956","0.36863366219210514"
"GTM","6.324","0.38916577752879755"
"AGO","3.866","0.3894310768144964"
"HND","4.871","0.3964058444983364"
"NIC","5.992","0.4023763185402136"
"MUS","5.648","0.4142949587509145"
"TKM","5.658","0.4213656616270669"
"BIH","5.163","0.4224615252612781"
"IDN","5.314","0.42568591997207866"
"GEO","4.252","0.4340265134031696"
"JAM","5.51","0.4363095555547461"
"THA","6.474","0.4571304118683894"
"ZAF","4.459","0.4622201501064747"
"MAR","5.151","0.4732750759590873"
"PRY","5.538","0.474290764473944"
"BOL","5.822","0.4788119070582578"
"AZE","5.291","0.4843018122567419"
"ARM","4.36","0.4847396219813277"
"SRB","5.177","0.49307257631230705"
"MKD","5.121","0.4951683116975074"
"CHN","5.245","0.4976438620064453"
"ALB","4.655","0.4978123757361828"
"UKR","4.324","0.4996565168631576"
"ROU","5.528","0.5097786930021265"
"MNG","4.907","0.5109266981007369"
"KAZ","5.919","0.5249405493057213"
"SLV","6.068","0.525572213596779"
"ECU","5.976","0.5273238493314917"
"TTO","6.168","0.531745485196168"
"BWA","3.974","0.5324129923150228"
"SUR","6.269","0.5400829889726685"
"HRV","5.488","0.5464595966932135"
"SVK","6.078","0.5520106005198642"
"IRQ","4.575","0.552935328469754"
"TUN","5.045","0.5536818060261275"
"MNE","5.161","0.5743972030745919"
"SVN","5.768","0.5833836051787656"
"POL","5.835","0.5874419090017639"
"DZA","6.355","0.5926079673773292"
"LVA","5.56","0.6109232980634145"
"PAN","6.701","0.614988404795603"
"DOM","5.155","0.6169321518513076"
"LTU","5.813","0.618212105042757"
"BGR","4.217","0.6210180499747094"
"PER","5.743","0.62178439769501"
"LBY","5.615","0.62704817702655"
"IRN","4.813","0.628751313687826"
"RUS","5.856","0.6330089427501036"
"PRT","5.123","0.6403072312841301"
"HUN","5.145","0.6426350309090888"
"BLR","5.802","0.6443867800256211"
"TUR","5.389","0.6478331621669413"
"COL","6.481","0.6500353205627892"
"EST","5.517","0.6532100682092273"
"AUT","7.119","0.6551647424378189"
"MEX","6.778","0.6594286075001876"
"GAB","4.121","0.6623983749890816"
"CRI","7.087","0.667211943459491"
"CYP","5.546","0.6705086049077121"
"MYS","6.005","0.670535462226287"
"BRA","6.952","0.6900048781110713"
"JOR","5.303","0.6909648394614766"
"VEN","6.084","0.6952497935423355"
"IRL","6.907","0.6954813475639043"
"CZE","6.596","0.699129095817261"
"ITA","5.977","0.712158651098757"
"GRC","5.033","0.7214712243531564"
"LBN","5.129","0.7380844104688893"
"ARG","6.65","0.7513322682717603"
"CHL","6.705","0.7632253267093595"
"DEU","6.994","0.7679023126050438"
"ESP","6.361","0.7719923066466874"
"SAU","6.379","0.7776066909106288"
"KOR","5.835","0.7825743027560187"
"URY","6.545","0.7848091009432532"
"FRA","6.478","0.7858666273496309"
"CHE","7.509","0.7896299825410422"
"GBR","6.725","0.7938405581480861"
"CAN","7.404","0.7976417403491415"
"USA","7.104","0.802319973444844"
"FIN","7.413","0.8073004682995132"
"NZL","7.334","0.8081371694390246"
"BHR","6.218","0.8154892151283832"
"AUS","7.313","0.830338732863773"
"ARE","6.573","0.8318748155862417"
"NOR","7.498","0.8340277095813688"
"DNK","7.526","0.8357261408971214"
"SWE","7.291","0.8386071871119906"
"PRI","7.039","0.8387054608043372"
"ISR","7.267","0.8399166762675084"
"MLT","6.488","0.8446332465910446"
"JPN","5.921","0.8579147221034981"
"NLD","7.339","0.8672682545403148"
"ISL","7.501","0.8761294122517473"
"BEL","6.929","0.8945076273296615"
"LUX","6.871","0.9292006359189439"
"QAT","6.375","1.0"
